,relevancy,text
34,3,"Noues Gesetz. Wenn Sie jetzt Fi
mehr als zwei Kinder guunehandlung, VI. Gumpendorferstraße Nr.
Dis Forderung erfolgte nicht mi Ankean:  
vom Orte der Meldung zu##ung begrün
derung nach ganzer Zahlung scheieeng
haltsbeitrag. Wenr Asre Grau. . Offiet
Ihre Mutter keint.. ##canspruch bestaht nicht di
nichts. — F. N. Ein 9. aber die Löhnung. —
willigen Heimkehrer bekommen iht gab es ja keine
nent, Feldpost 535. 1. Ohne G#.
gung; beruft man h auf Errtschädigungt
zahlen. 2. Der Ans#####. Kaner Meint#t
darüber kann man verschibenter Meinlung
monatlich würde allerdings kein Gerich.
für beide Teile wäre in nterhaltslanl
Zuerst müssen Sie an ## der A1
Diese Belehrung mud — auf Dür
wärts. Ein Unterschied in Bezes A#fundl
gemacht; natürlich wird ein . kann kein
H. P., Rosenztal. 1. Der Soldat.“ asfen, wi
eben, sondern muß mit sich geschehen ich
eliebt. 2. Ohne Zahlung wenn es
A. H., Roseggergasse. Sie mit
treffenden Schule gict. Spreer.  Aragis
Wöllersdorf. 1: Ja. beihen Sie ver. Wohnl
amt ein. Vorher brauchen Sie di D###gung
izei. 2.-Nein. 3. Ja."
35,3,"Paganini auf. Der Kartenvorverkauf hat bereits bei der Konzertunternehmung Johann Groß, Maria=Theresienstraße, begonnen.
Gerechte Forderungen Tirols. In unserem Aufsatze „Wenn vir
bleilen ... vom Mittwoch, den 4. Dezember, ist durch ein technisches
Versehen die Zahl der einzelnen Punkte verschoben worden. Die
Punkte sind richtig von 1 bis 11 zu zählen.
Todesnachricht von einem Kriegsgefangenen. Vor einigen Tagen
langte bei der Hilfsstelle für Kriegsgefangene (Innsbruck, Herrengasse, Statthaltereiarchiv) vom Militärattaché ein Telegramm ein,
der Schweizer Territorialdienst teilt mit, daß der Schütze des 1. Tiroler Regimentes Friedrich Walker, Landwirt von Ließenbrücke, im
Spital Santa Maria an Grippe gestorben sei.
Versorgung der Heimkehrer mit Monturen. Um eine Wiederholung
der vorgekommenen Mißbräuche zu verhindern und in die Versorgung der Rückkehrer mit Kleidern Ordnung zu bringen, wurde folgendes angeordnet: Die Heimkehrer, welche nicht direkt bei ihrem
Kader ihre Zivilkleider beheben können, können ihre Ansorüche zur.
durch ihre Gemeinde geltend machen. Die Gemeinde hat über
die Heimkehrer ein Verzeichnis anzulegen, in welchem. die Namen
der Heimkehrer mit ihrer Regimentszugehörigkeit, Einrückungsort
usw., zu verzeichnen sind. Das Verzeichnis ist an den Tiroler Narionalrat in Innsbruck einzusenden. Nach Durchführung der genauen
Kontrolle der Liste erfolgt die Zusendung der Kleider an die Gemeinden. Doppelmildungen und Doppelbezug sind strafbar und
werden gerichtlich verfolgt."
36,3,"Härteausgleich für Einwanderer nach dem Lande
esterreich.) Der Reichswirtschaftsminister hat durch Rundlaß 43/38 DST UesT die Bestimmungen des Runderlasses
4/36 DST UeST über das Härteausgleichsverfahren für Einanderer auf die Einwanderung nach dem Lande Oesterreich a
dehnt. Einwanderer und Rückwanderer können auf Grund
eser Bestimmungen bei Verlegung ihres Wohnsitzes nach dem
ande Oesterreich einen Härteausgleich für Verluste erhalten, die
e durch die Abwertung ausländischer Währunen erlitten haben. Anträge sind an die Devisenstelle Berlin,
erlin C 2, Neue Königstraße 61—64, zu richten. Für Vermögen
nter 3000 RM kann der Ein= und Rückwanderer den Härteusgleich auch bei der Devisenstelle Wien, 1. Teinfaltstraße 4,
eantragen."
37,0,"London, 5. Dezember
Die Rückwanderung des in der Zeit der Ungewißheit aus
Frankreich abgewänderten Kapitals macht weitere Fortschritte.
Auf Grund französischer Schätzungen, hat der französische
Währungsfonds, in der vergangenen Woche reichlicig „hech
Millionen Psund Sterling erwerben können. Man win jerch
bemerkt haben, daß die großen französischen Kapitalisten sich
noch zurückhalten und daß die Repatriierung des Kapitals sich
auf die kleinen Besitzer beschränkt. Der erfolgreiche Beginn des
Daladier=Reynaudschen Reformprogramms hatte, zur Folge, daß
der Kassafranc fest bei 177⅝ einsetzte und bei 177,63 schloß,
wobei die Termmabschläge den seit tangem. nicht, erreichten Tiefstand von 1/16 Franc für den Einmonats= und ⅝8 Franc für
den Dreimona= ranc erreichten. Francverkäufe auf kürzere, Sicht
werden sogar gelegentlich mit einem Aufgeld getätigt. an oie
Stelle der Pfundverkäufe der letzten Woche sind in der beginnenden Woche Dollarverkäufe getreten. Der Dollar schwächte sich
daher auf 4,69 5/16 ab. Die hohe Prämie für den Dreimonatsdollar, nämlich 2 3/16 Cents, kennzeichnet die allgemeine Stimmung
dahin, daß man in der City mit einem neuen Rückgang des
Pfundkurses rechnet."
38,3,"Rückwanderer die der Eingewanderten. Dies
ist ebenso eine Folge der Krise wie die Umkehr
der inneramerikanischen Wanderung, die
sich im Jahre 1931 bereits von den Städten nach den
Landbezirken hin bewegte. Von 1924 bis 1929
wanderten durchschnittlich zwei Millionen Personen vom
Land in die Großstädte und 1•3 Millionen Personen von
den Städten auf das Land zurück. Der Bevölkerungszuwachs
glich einen Teil des Verlustes auf dem flachen Lande wieder
aus, so daß in den Jahren 1920 bis 1930 die Gesamtemigration aus den Landbezirken 1·5 Millionen Seelen
betrug. Im Jahre 1932 dürfte sich nach Schätzungen ein
Rückwanderungsüberschuß nach dem flachen
Lande von 656.000 Personen ergeben haben."
39,0,"Ein Jahr ist es der, seit der Führer den Gauen der heimgekehrten Ostmark jene Männer gab, die fortan in seinem Auftrag die Geschicke seiner eigenen Heimat lenken sollten. Als die
Kunde unser Land durchdrang, daß unser alter Kampfgefährte
und Ganleiter Hofer in seine Heimat zurückkehre, erfüllte
uns alle ein Gefühl der Befriedigung. Wir wußten, daß auch
unser Gau nun darangeht, mit aller Kraft unter zielbewußter
Führung die Wunden aus dem niedergerungenen System zu
heilen und die Heimat neu aufzubauen. Der herzliche Empfang,
mit dem ihn damals seine Heimatstadt Innsbruck grüßte, bewies dem Gauleiter, daß die Menschen in diesem Land bereit
waren, mit aller Kraft am neuen Werk mitzuarbeiten.
Als der Gauleiter vor einem Jahr den Boden der Stadt
Innsbruck wieder betrat, grüßte ihn vor dem Bahnhof eine
große Menschenmenge, und unter herzlichen Zurufen seiner
Innsbrucker schritt er die Front der angekretenen Formationen
der Bewegung ab."
40,0,"Die geraubten Malvinen müssen wieder zurück!
Buenos Aires, 23. Okt. Die kürzlich gebildete „Vereinigung
zur Wiedererlangung der Malvineninseln“, die sich die Propaganda für die Heimkehr der von England geraubten Malvinen oder Falklandinseln ins argentinische Mutterland zur
Aufgabe gemacht hat, hielt ihre erste Arbeitssitzung in Buenos
Aires ab. Angesichts der zahlreichen Zustimmungserklärungen
zu den Bestrebungen des Bundes, wurde die Gründung entsprechender Unterausschüsse in ganz Argentinien beschlossen.
Bei der geplanten großangelegten Propaganda soll dem argentinischen Volk, ohne Ansehen der parteipolitischen Einstellung,
gesteigert zum Bewußtsein gebracht werden, daß die alte Forderung auf Rückgabe des durch England gestohlenen Archipels
endlich beglichen werde."
41,3,"Der Stellvertreter des Führers, Rudolf
Heß, besichtigte das Rückwandererheim der AO
der NSDAP in Prien am Chiemsee, in dem
mehrere hundert Auslandsdeutsche aus aller
Welt untergebracht sind. Er richtete anschließend
einige Worte an die versammelten Auslandsdeutschen, wobei er betonte, daß er als ehemaliger Auslandsdeutscher der Arbeit der AO
sein besonderes Interesse entgegenbringe. Die
Heimkehrer aus aller Welt könnten sicher sein,
daß Großdeutschland für sie sorgen
werde. Großdeutschland könne alle Deutschen
brauchen und habe für sie alle Möglichkeiten der
Betätigung. Sie könnten die Gewißheit in sich
tragen, daß ihre Kinder und Kindeskinder endgültig dem Deutschtum erhalten bleiben und
nicht aufgingen in fremdem Volkstum.
Generalfeldmarschall Göring — Schirmherr der deutschen Ostmesse
Generalfeldmarschall Göring hat auch in
diesem Jahre wieder die Schirmherrschaft über die
Deutsche Ostmesse, die in Königsberg vom 20.
bis 23. August stattfindet, übernommen."
42,3,"Als Karl Weber bei Neu=Bentschen
auf deutschen Boden gelangte, glaubte er zu
träumen. Er wurde von einer Betreuungsstelle
für Heimkehrer aufgenommen, er lag in einem
Bett, wie er es seit mehr als zwei Jahrzehnten
nicht mehr gesehen hatte, er sah fröhliche, gutgekleidete Menschen, sah saubergehaltene Ortschaften, gepflegte Häuser und behaglich eingerichtete Wohnungen. Ein siebentägiger Aufenthalt in Berlin wurde für ihn zum großen
Erlebnis."
43,3,"Rückwanderer
sucht Arbeit. Fixer
Ober oder Zahlkellner (Bar, Café,
Restaurant). Vertretungen in allen
Branchen. Verkäufer in Lebensmittel, guter Dekorateur. Reiseführer,
redegewdt., spricht
deutsch, italienisch,
englisch. Zuschrift.
unter „Nr. 8709“
an d. Anz.=Abt."
44,0,"Seit Harald Paulsen das Theater am Nollendorfplatz
übernahm, weis man in Berlin wieder, was Operette ist.
Man weis es zumindest jetzt, nach seiner „Fledermaus“=Inszenierung, die ein Erfolg ohnegleichen war. Aus gutem
Grunde, denn Nietzsches Forderung, daß alle Kunst leicht sei
und das Göttliche auf zarten Füßen schreite, wird hier erfüllt. Auf zweierlei Art kommt Paulsen zu diesem Ziel: einmal arbeitet er mit einer unerhörten Präzision, die aber dennoch immer den Ton der eleganten Improvisation zu wahren
weis; zum anderen hat er Gewand und Fittiche der Fledermaus abgestaubt und zurechtgestutzt: sie erscheint jetzt in acht
Verwandlungen; die Dialoge sind gekürzt und frisch pointiert;
Frosch endlose Quasseleien beseitigt, seine allzubärtigen, allzubilligen Scherze durch neue, tiefgründigere ersetzt; Prinz
Orlovsky wird nicht mehr von einer Frau in Hosen gespielt,
sondern von einem scharmant lächelnden jungen Mann; eine
ganze Szene wurde eingefügt, die Heimkehr vom Fest des
Orlovsky, ein sektseliger, verliebter Ausklang einer durchtanzten Nacht; und wenn der Vorhang zum letzten Male fällt,
dann senkt sich über eine Szene, in der man Herrn von Eisenstein am Giebel eines biedermeierlichen Hauses auf einem
vergitterten Balkon eingesponnen sieht... Ein Schluß, der
noch einmal den ganzen Witz dieser Inszenierung enthält.
An der Musik war nichts geändert, sie klang so
frisch und spritzig wie immer. Das Ballett tanzte mit hinreißendem Schwung und die kostbaren Kostüme blieben bei
aller Farbigkeit immer delikat — delikat und fein getönt wie
die ganze Aufführung."
45,3,"Die Austria wird diesmal mit einer starken Elf erscheinen, in der sich auch die Urlauber
Stroh, Safarik, Joksch und Neumer befinden
dürften. Der F. C. Wien stellt mit seiner gewohnten Mannschaft den Heimkehrer Böhm. Der
Sportklub wird Galli und Vavra durch Merkl
und Karszmarski ersetzen. Rapid wird vielleicht
Pesser vermissen, der am Sonntag verletzt wurde.
Die Amateure=Fiat bringen wieder Hummenberger als Mittelstürmer, die Admira soll
nach langer Pause wieder Marischka zur Verfügung haben, auch Mirschitzka wird mitwirken
und Schilling wird den linken Flügelstürmer abgeben. Die Vienna stellt statt des verletzten
Sabetic Artmann ein und Wacker erscheint mit
der gleichen Elf, die am Sonntag in Köln sieg¬"
46,0,"gd. Schwaz. Zum Tode des Ortsgruppenleiters
Franz Neußl. Wie bereits berichtet, ist der Ortsgruppenleiter von Schwaz, Pg. Franz Neußl, vor kurzem gestorben.
Er erlag im Alter von 39 Jahren einer schweren Lungenentzündung. Pg. Neußl trat, nachdem er schon seit Juli 1923
dem Freikorps Oberland angehört hatte, im Jahre 1932 der
NSDAP. bei. In unentwegter Treue stand er als SA.=Mann
in der Verbotszeit zur Bewegung und ließ sich auch durch
die langen Freiheitsstrafen, die das System über ihn verhängte, nicht vom kämpferischen Einsatz abhalten. Seit der
Heimkehr der Ostmark war er Ortsgruppenleiter von Schwaz
und bewahrte seine vorbildliche Haltung als Nationalsozialist
und Politischer Leiter bis zu seiner Todesstunde. Pg. Neußl
ließ sich 1923 nach Lehr= und Wanderjahren im Sudetenland
in seiner Heimatstadt Schwaz als Uhrmacher nieder und war
Vater von vier Kindern. Dem Turnverein Schwaz gehörte er
seit seinem Knabenalter durch mehr als 30 Jahre an."
47,0,"Die Statistik hat festgestellt, daß der Klapperstorch sich in
diesem Jahre selbst übertraf. Im ersten Halbjahr 1939 wurden in Deutschland 56.000 Kinder mehr geboren, als in der
gleichen Zeit des Vorjahres. 56.000 kleine, schreiende, zappelnde Erdenbürger, das ist schon eine nette Leistung, ein Rekord, auf den sich das brave Tier wahrhaftig etwas einbilden
kann. Es zeigt, daß der vor Jahren noch so verachtete und
vielgeschmahte Vogel sich tatsächlich und nicht nur scheinbar
einer ständig wachsenden Beliebtheit erfreut. Besonders groß
war sein Erfolg in unserer deutschen Ostmark. Er hat seine
Anstrengungen zum Teil sogar verdoppelt. In fast allen
Gauen der Ostmark ist eine 50prozentige Steigerung der Geburten zu verzeichnen. In der schönen Walzerstadt Wien aber
stiegen die Geburten von 10.055 im Vorjahre sogar auf 21.133.
Den Beweis dafür, daß das kein einmaliges freudiges Ereignis bleiben wird, gibt die hohe Zahl der neugeschlossenen
Ehen. Im ganzen Reich war in den zurückliegenden Monaten
eine wachsende Heiratsfreudigkeit zu beobachten und auch darin
will unsere Ostmark nicht zurückstehen, die es auf die doppelte
Zahl der Eheschließungen brachte wie im Vorjahr. Das ist
umso erfreulicher, als in den zurückliegenden Jahren die Ostmark einen so gewaltigen Geburtenrückgang gehabt hat, daß
es tatsächlich doppelter Anstrengungen bedarf, um für die Zukunft einen Ausgleich herbeizuführen. Wenn allerdings jetzt
schon ein so großer Erfolg verzeichnet wird, so ist das ein besonders schöner Beweis für den wirtschaftlichen und seelischen
Aufschwung, den die heimgekehrten Gaue genommen haben,
und ein sicheres Anzeichen dafür, welches Vertrauen das
deutsche Volk und ganz besonders die Ostmärker in die Führung des Reiches setzen. Denn das ist eine alte Erfahrungstatsache, in ungewissen und unsicheren Zeiten fühlt sich der
Klapperstorch nicht wohl. Er baut sein Nest am liebsten dahin,
wo er es vor jeder Gefahr geschützt weiß. Die ausländische
Lügenpropaganda, die jetzt auch wieder uns Ostmärker bedauern zu müssen glaubt und Pläne für unsere „Befreiung
vom deutschen Joch“ in die Welt posaunt, kann sich von
unserem prachtvollen Schnabeltier eines besseren belehren
lassen. r.
*"
48,3,"Berlin, 21. Okt. Am Freitagnachmittag traf auf dem
Stettiner Bahnhof die erste Gruppe von Reichs= und Volksdeutschen aus Lettland ein. Die erste Begrüßung
des Transportes erfolgte durch die Auslandsorganisation der
NSDAP. Die Heimkehrer wurden in Sonderomnibussen in
das Rückwandererheim der Auslandsorganisation nach Tegel
gebracht, wo sie fürs erste in vorbildlicher Weise untergebracht
sind. Der Leiter des Rückwandererheims hieß die Volksgenossen mit herzlichen Worten willkomen und gab ihnen die
Versicherung, daß für ihre Betreuung und Unterbringung
alles getan werde. Im Laufe des Sonnabends wird der
zweite Transport erwartet."
49,0,"Ueber 98 Prozent Ehestandsdarlehens¬
bewerber zur Ehe geeignet
Das Reichsgesundheitsamt gibt eben das
Ergebnis der ärztlichen Untersuchungen der Ehestandsdarlehensbewerber für das Jahr 1938 bekannt. Danach sind im Altreich im Berichtsjahr
insgesamt 519.417 Bewerber amtsärztlich untersucht worden. Davon wurden 8676 Personen aus
gesundheitlichen, bezw. erbbiologischen Gründen abgelehnt. Die Ablehnungsziffer ist gegenüber 1937 etwas gesunken.
Ueber 98 Prozent der Bewerber um ein Ehestandsdarlehen wiesen die erforderliche gesundheitliche Voraussetzung für eine gute Ehe auf.
Bei einer Berechnung der Ablehnungen auf die
einzelnen Paare ergibt sich, daß in 6970 Fällen
ein Partner, in 853 Fällen beide Partner wegen
Krankheit oder erblicher Belastung abgelehnt wurden.
Die Ergebnisse der amtsärztlichen Untersuchungen der Ehestandsdarlehensbewerber in den
heimgekehrten Gebieten werden besonders bekanntgemacht werden, weil die Darlehensgewährung dort zu verschiedenen späteren Zeitpunkten
einsetzte."
50,0,"Nlaive Spiegelfechterei
Im gleichen Augenblick, in dem die neuen Instruktionen
für den britischen Botschafter in Moskau eintrafen, um mit
allen Mitteln die Einbeziehung Sowjetrußlands in den Einkreisungskonzern gegen Deutschland zu erreichen, fühlt sich die britische Regierung bemüßigt, der deutschen
Reichsregierung nach zwei Monate langem Stillschweigen auf
die seinerzeit durch den Führer ausgesprochene Annullierung
des deutsch=englischen Flottenvertrages zu antworten. Schon
bei flüchtiger Ueberprufung des Textes der englischen Note,
deren Ton sich durch unausgesprochene Impertinenz auszeichnet und mehr als deutlich den auf englischer Seite vorhandenen schlechten Willen dokumentiert, kann festgestellt werden, daß es das offenkundige Bestreben Londons war, durch
politische und technische Spiegelfechtereien an den Kernpunkten des gesamten Problems vorbeizugehen. Wenn sich die britische Regierung nachzuweisen bemuht, daß nicht etwa die Ausschließung jeder Kriegsmöglichkeit zwischen Großbritannien
und Deutschland, sondern vielmehr, das Ziel der Rüstungsbegrenzung die Voraussetzung des erwähnten Vertrages gebildet habe, so trifft dies weder sachlich noch eigengemäß zu.
In seinen persönlichen Besprechungen mit Sir John Simon
und in seiner Reichstagsrede vom 21. Mai 1935 sprach der
Führer ausdrücklich die Ueberzeugung aus, daß es sein
Wunsch und Wille sei, einen Krieg zwischen den beiden Ländern unmöglich zu machen. Deutschland hatte gewiß keinen Anlaß, eine Begrenzung seiner Flotte um 35 Prozent im Verhältnis der britischen Marine freiwillig auf sich zu nehmen,
wenn es nicht als Gegenleistung die Aussicht auf eine deutschenglische Freundschaft hätte erwarten können. Als der Fuhrer in der letzten Reichstagssitzung feststellte. daß die britische
Einkreisungspolitik die grundsätzliche Voraussetzung des deutschenglischen Flottenvertrages annuliert habe, gab er trotzdem der englischen Regierung einen erneuten Beweis
der deutschen Friedensbereitschaft und des Willens, etwa zwischen den beiden Ländern bestehende Meinungsverschiedenheiten und Konflikte zu beseitigen, in dem er England die Hand
zu künftigen Verhandlungen bot. Diese dargebotene Hand
zu ergreifen, lehnte die britische Antwortnote ab.
Dagegen fühlt sich die britische Regierung erneut bemüßigt,
ihre offenkundigen Einkreisungspläne gegenüber Deutschland
abzustreiten. Man scheint also offenkundig in London immer
noch in dem fundamentalen Irrtum befangen zu sein, das
deutsche Volk und die Weltöffentlichkeit über Englands wahre
Absichten täuschen zu können, obwohl die demokratische Presse
selbst schon unzählige Male die scheinheiligen Aussprüche der
englischen und französischen Staatsmänner widerlegt hat. Die
Entlarvung der britischen Einkreisungspolitik beruht also keineswegs, wie man in London glauben machen möchte, auf einem
etwaigen Mißverstehen auf deutscher Seite, sondern in der nüchternen Erkenntnis der wahren
Absichten und Methoden der britischen Politik. Zu allerletzt ist aber England befugt, Deutschland den
Vorwurf zu machen, daß es andere Völker aggressiv behandelt habe. Auch die raffiniertesten Lügen und Verdrehungsmanöver können die geschichtlichen Tatsachen nicht aus der
Welt schaffen, daß es die alliierten Agressoren waren, die nach dem Weltkrieg Oesterreich, das Sudetenland und
Memel aus dem deutschen Volkskörper herausrissen, um sie in
einer Weise zu unterdrücken und zu vergewaltigen, die am
deutlichsten die wahre Gesinnung der demokratischen Friedensund Freiheitsapostel dokumentiert. Wenn Deutschland diesen
unerträglichen Zuständen ein Ende bereitet hat, so beendéte
es damit lediglich ein ihm von den demokratischen Angreifern
zugefügtes Unrecht, was ebenso für die ins Reich heimgekehrten
urdeutschen Völkergebiete gilt, wie für Böhmen und Mähren,
die niemals etwa britischem Einfluß unterstanden, sondern
über ein Jahrtausend integraler Bestandteil des deutschen Reiches waren. Wie wenig sich England in Wahrheit um die Freiheit und Unabhängigkeit anderer Völker kümmert, beweisen die
politischen Terrormethoden in Palästina und Indien
ebenso, wie der Versuch, die baltischen Staaten gegen ihren
ausdrücklichen Willen in den Ring der demokratischen Einkreisungsfront zu pressen. England scheint sich, wie aus den
Unterhausdebatten hervorging, durch die letzte Rede des
Reichspropagandaministers Dr. Goebbels aus unerfindlichen Gründen beleidigt zu fühlen. Wenn die absolute
Klarstellung der deutschen Forderung für England keine Versöhnung bedeutet, so kann dies von unserer Seite entweder
nur als Naivität oder unbegreifliche Verständnislosigkeit aufgefaßt werden. Bestellte Interpellationen im englischen Unterhaus, die die Gelegenheit zur schlechtgespielten Entrüstung
bieten sollen, ändern an unserem Standpunkt gegenüber England ebensowenig wie impertinente Noten, die die Anerkennung
deutscher Interessen vermissen lassen. Mit neuen Beteuerungen
der englischen Unschuld ist uns nicht gedient. Wir
haben in der Geschichte schon so oft naiv an sie geglaubt und
bitter dafür büßen müssen. Man kann in London zunächst
davon überzeugt sein, daß der Fehler des kaiserlichen
Deutschlands, das blindlings in das Netz der politischen Einkreisung ging, vom nationalsozialistischen Deutschland niemals mehr wiederholt wird."
51,0,"Sondertagungen der Handwerks=Rebenorganisationen - Kameradschaftsabend in der KdJ. Halle
F. O. Innsbruck, 13. Juni.
Im Rahmen des Reichsinnungsverbandstages
des Fleischerhandwerks fanden gestern wichtige Beratungen statt. Am Morgen tagte im Hotel „Tirolerhof“ der
große Beirat des Reichsinnungsverbandes. Anschließend an
die Sitzung überreichte der Obermeister der Innsbrucker Fleischerinnung, Pg. Steppan, dem Reichsinnungsmeister Willy
Schmidt=Hohenstemmen, einem eifrigen Anhänger des edlen
Weidwerks, einen vorzüglichen Stutzen als Ehrengeschenk der Innsbrucker Fleischerinnung.
Vormittags trat die Fachabteilung Talgschmelzen,
eine wichtige Nebenorganisation des Fleischerhandwerks, zu
einer Sitzung im Gasthof „Breinößl“ zusammen. Mittags veranstaltete die Stadt Innsbruck ein Begrüßungsessen, ebenfalls
im „Breinößl“. Bürgermeister Christoph hieß die führenden Männer des Reichsinnungsverbandes in der Gauhauptstadt herzlich willkommen und wünschte den Teilnehmern besten
Verlauf der Tagung. Die Stadt Innsbruck werde alles daransetzen, die Tagungsteilnehmer in jeder Beziehung zufrieden
zu stellen. Reichsinnungsmeister Willy Schmidt dankte dem
Bürgermeister in seiner Erwiderung für die Initiative, welche
die Stadt und die beteiligten Stellen bei der Vorbereitung der Tagung gezeigt haben. Der Reichsinnungsmeister
verwies auf die Schönheiten unserer Heimat, die allen Tagungsgungsteilnehmern unvergeßliche Erlebnisse vermitteln
würden. Der ganz besondere Dank des Reichsinnungsmeisters
galt der Stadt für die gastliche Aufnahme der Tagungsteilnehmer.
Am Nachmittag tagte im Hotel „Maria Theresia“ die
Reichsfachgruppe Großschlächter, im Hotel „Grauer Bär“ fand
die Jahreshauptversammlung der Gemeinschaft deutscher Fleischer=Einkaufsvereinigungen statt.
Die an den Sondertagungen nicht teilnehmenden Gäste benutzten den gestrigen Tag zu Besichtigungen der Stadt und
Ausflügen, die sie in die Gegend des Kaisers, zu den bayrischen
Königsschlössern und ins Gschnitztal führten. Leider waren die
Ausflüge durch das Wetter wenig begünstigt. Dennoch zeigten
die Teilnehmer ihre höchste Befriedigung über das Gesehene
und Erlebte.
Der gestrige Abend vereinte die vielen tausend Teilnehmer
der Fleischertagung in der KdF.=Halle zu einem Kameradschaftsabend, der nach der ernsten Arbeit des Tages froher Geselligkeit gewidmet war. Schon vor acht Uhr abends war
die große Halle bis auf den letzten Platz gefüllt. SA.=Männer
versahen in vorbildlicher Weise den Ordnungsdienst. Der Platz
vor der Halle war zu einem großen Parkplatz verwandelt,
Kraftwagen reihte sich an Kraftwagen.
Die Wiltener und die Mühlauer Musik spielten abwechselnd.
Zum Beginn des Abends erklang das Andreas=Hofer=Lied.
Dann ergriff der Obermeister der Innsbrucker Fleischerinnung,
Bezirksstellenleiter Pg. Josef Steppan, das Wort zur Begrüßungsansprache. Er hieß die Teilnehmer aus allen deutschen Gauen, insbesondere die Vertreter Danzigs und des
heimgekehrten Memellandes auf Innsbrucker Boden
herzlich willkommen. Pg. Steppan erinnerte die Gäste an die
kulturelle und wirtschaftliche Bedeutung unseres Gaues. In
Vergangenheit und Gegenwart hat dieser Gau stets Bedeutendes geleistet. In diesem Zusammenhang gedachte der Redner
der großen Söhne unseres Gaues, Michael Gaismair und Andreas Hofer, an die Heldentaten der Tiroler Standschützen im
Weltkrieg, an die Blutopfer des großen Krieges und die Leiden der Systemzeit, nicht zuletzt der unermüdlichen Aufbau¬
arbeit, die seit der Wiedervereingung unseren Gau in vieler
Hinsicht bereits an die Spitze aller deutschen Gaue gestellt hat.
Auch in der Innung gelte es den Geist der Kameradschaft
hochzuhalten und zu pflegen, und in diesem Sinne seien die
Gäste in unserer Gauhauptstadt besonders herzlich willkommen.
Reichsinnungsmeister Pg. Willy Schmidt dankte im
Namen des großdeutschen Fleischerinnungsverbandes und begrüßte insbesondere die Vertreter der Partei und der Behörden. Er dankte nochmals allen, die diese Tagung vorbereiten
halfen. Mit einem begeistert aufgenommenen „Sieg=Heil“ auf
den Führer schloß der Reichsinnungsmeister seine Rede.
Deutschland= und Horst=Wessel=Lied schlossen den ernsten Teil
des Abends.
Dann führten Trachten= und Sängervereine, darunter der
Trachtenverein Alpina, d'Landler, der Milser Volkstanzkreis
und der Schuhplattler= und Sängerverein Mayrhofen, heimische Tänze und Jodler in bunter Folge vor, die bei den
Gästen des Kameradschaftsabends stürmischen Beifall fanden.
Bayrische und Ostmark=Sänger der Innungen ließen gemeinsam ihre Sangeskunst hören. In Heiterkeit und Frohsinn verlief der Abend, und wenn auch der draußen in Strömen niedergehende Regen manche Hoffnung auf Ausflüge und Besichtigungen am nächsten Tag schwinden ließ, tat dies der
Stimmung keinen Abbruch. Im Gegenteil, umso rascher stiegen
Stimmung und Humor und gegen Mitternacht waren die
Tausende noch in froher Gemeinschaft vereint."
52,0,"20.00o Krbeksmanner uin Ween
Der Reichsarbeitsdienst in der Ostmark - Bier Arbeitsgaue im Aufbau
Innsbruck, 31. Mai. Auf einer Pressefahrt der Reichsleitung
des Arbeitsdienstes durch sämtliche Arbeitsgaue der Ostmark
erhielten die Teilnehmer einen umfassenden Einblick in das
Gesamtwerk, das der Arbeitsdienst seit dem Frühjahr 1938 in
der heimgekehrten Ostmark geleistet hat. Insgesamt wurden
27 Abteilungen des männlichen Arbeitsdienstes sowie neun
Lager und eine Bezirksschule des Reichsarbeitsdienstes für die
weibliche Jugend besucht. Auch in der Ostmark weht heute die
Flagge des RAD. vom hohen Mast, überall stehen die Wiener,
die Steirer, die Kärntner, die Tiroler Männer und Maiden
zusammen mit ihren Kameraden aus dem Altreich in der gleichen Mannschaft, beseelt von einem Geist und von einem Willen, um, ungeachtet ihrer stammesmäßigen Eigenart — das
dumme Gerede vom „österreichischen Menschen“ findet hier
seine endgültige Erledigung —, das Band der deutschen Volksgemeinschaft immer fester zu schmieden.
So stehen heute in der Ostmark schon rund 100 vollbelegte
Abteilungen mit 20.000 Arbeitsmännern und 60 Lager
des weiblichen Arbeitsdienstes mit 3000 Arbeitsmaiden während Dutzende von Abteilungen und Lagern bereits im Aufbau begriffen sind. Die Ostmark ist in vier
Abteilungen, den Arbeitsgau 34 (Oberdonau), den Arbeitsgau
35 (Wien=Niederdonau) und die Arbeitsgaue 36 (Südmark)
und 33 (Alpenland) eingeteilt worden. Für den weiblichen
Arbeitsdienst wurde eine Gliederung in die drei Bezirke
„Wien=Niederdonau“, „Südmark“ und „Alpenland“ vorgenommen.
bringt jetzt der Reichsarbeitsdienst der Ostmark, wo noch rund
450.000 Hektar der landwirtschaftlichen Nutzbarmachung harren, zur Ausführung. Aus der Fülle der Aufgaben schälen sich
besonders zwei Hauptarbeitsgebiete heraus: die Herstellung
einer geregelten Wasserabfuhr und die Aufschließung der einsamen Gebirgsgegenden durch Wegebauten."
